LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'CD18,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-49-59.9490N,143399.9490N,106-04-02.0710W,381842.0710W
'8V6,"DOVE CREEK, CO 81324","DOVE CREEK, CO 81324",81324,81324,37-45-53.1000N,135953.1000N,108-53-19.1000W,391999.1000W
'CD35,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,37-35-59.9660N,135359.9660N,108-38-02.3450W,391082.3450W
'56CO,"DURANGO, CO 81302","DURANGO, CO 81302",81302,81302,37-12-11.0090N,133931.0090N,107-52-04.2360W,388324.2360W
'00C,"DURANGO, CO 81302","DURANGO, CO 81302",81302,81302,37-12-11.4420N,133931.4420N,107-52-09.1030W,388329.1030W
'DRO,"DURANGO, CO 81303","DURANGO, CO 81303",81303,81303,37-09-05.5000N,133745.5000N,107-45-13.6000W,387913.6000W
'CO46,"DURANGO, CO 81301","DURANGO, CO 81301",81301,81301,37-14-10.0000N,134050.0000N,107-49-39.0000W,388179.0000W
'CD11,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,37-14-30.0090N,134070.0090N,107-52-32.2380W,388352.2380W
'58CO,"DURANGO, CO 81301","DURANGO, CO 81301",81301,81301,37-37-37.9920N,135457.9920N,107-48-14.2340W,388094.2340W
'9V7,"EADS, CO 81036","EADS, CO 81036",81036,81036,38-28-30.5000N,138510.5000N,102-48-39.1000W,370119.1000W
'EGE,"EAGLE, CO 81631","GYPSUM, CO 81637",81631,81637,39-38-33.9000N,142713.9000N,106-54-57.4000W,384897.4000W
'CO48,"EATON, CO 80615","EATON, CO 80615",80615,80615,40-30-44.9290N,145844.9290N,104-39-06.8650W,376746.8650W
'6CO0,"ECKERT, CO 81418","EXKERT, CO 81418",81418,81418,38-51-09.9360N,139869.9360N,108-01-02.2440W,388862.2440W
'CD36,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,37-52-59.9650N,136379.9650N,108-50-02.3680W,391802.3680W
'4CO7,"FRANKTOWN, CO 80116","FRANKTOWN, CO 80116",80116,80116,39-13-03.9650N,141183.9650N,104-40-48.9060W,376848.9060W
'CO39,"ELBERT, CO 80106","ELBERT, CO 80106",80106,80106,39-13-43.9100N,141223.9100N,104-28-15.5100W,376095.5100W
'CO15,"ELBERT, CO 80106-9512","ELBERT, CO 80106-9512",80106-9512,80106-9512,39-13-28.8000N,141208.8000N,104-38-23.6400W,376703.6400W
'66CO,"ELBERT, CO 80106","ELBERT, CO 80106",80106,80106,39-05-26.9600N,140726.9600N,104-32-36.8900W,376356.8900W
'CO42,"ELIZABETH, CO 80107","ELIZABETH, CO 80107",80107,80107,39-20-04.9570N,141604.9570N,104-32-46.8870W,376366.8870W
'9CO6,"ELIZABETH, CO 80107","ELIZABETH, CO 80107",80107,80107,39-16-52.8000N,141412.8000N,104-34-23.2200W,376463.2200W
'3CO7,"ELIZABETH, CO 80107","ELIZABETH, CO 80107",80107,80107,39-19-56.9580N,141596.9580N,104-33-58.8910W,376438.8910W
'55CO,"ELIZABETH, CO 80107","ELIZABETH, CO 80107",80107,80107,39-21-44.9580N,141704.9580N,104-35-58.8950W,376558.8950W
'CD45,"ELIZABETH, CO 80107","ELIZABETH, CO 80107",80107,80107,39-19-24.0000N,141564.0000N,104-34-24.0000W,376464.0000W
'8CO9,"ELIZABETH, CO 80107","ELIZABETH, CO 80107",80107,80107,39-20-39.9580N,141639.9580N,104-34-51.8930W,376491.8930W
'2CD6,"ELIZABETH, CO 80107","ELIZABETH, CO 80107",80107,80107,39-23-41.4600N,141821.4600N,104-32-49.3200W,376369.3200W
'CO49,"CALHAN, CO 80808","CALHAN, CO 80808",80808,80808,38-52-27.3000N,139947.3000N,104-24-35.4375W,375875.4375W
'CO90,"COLORADO SPRINGS, CO 80840","COLORADO SPRINGS, CO 80840",80840,80840,38-45-31.0000N,139531.0000N,104-18-02.0000W,375482.0000W
'CD37,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-47-37.9530N,143257.9530N,105-45-50.0220W,380750.0220W
'CO51,"EMPIRE, CO 80446","EMPIRE, CO 80438",80446,80438,39-46-05.9520N,143165.9520N,105-50-53.0360W,381053.0360W
'CD06,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-35-40.3200N,142540.3200N,104-49-24.6500W,377364.6500W
'15CO,"ENGLEWOOD, CO 80113","ENGLEWOOD, CO 80113",80113,80113,39-39-16.7900N,142756.7900N,104-58-51.5400W,377931.5400W
'EIK,"ERIE, CO 80516","ERIE, CO 80516",80516,80516,40-00-36.9000N,144036.9000N,105-02-53.1000W,378173.1000W
'7CO0,"ERIE, CO 80516","ERIE, CO 80516",80516,80516,40-04-17.9440N,144257.9440N,105-02-00.9330W,378120.9330W
'3CO8,"ESTES PARK, CO 80517","ESTES PARK, CO 80517",80517,80517,40-22-16.8500N,145336.8500N,105-30-54.2300W,379854.2300W
'70CO,"EVERGREEN, CO 80439","EVERGREEN, CO 80439",80439,80439,39-38-26.9570N,142706.9570N,105-23-45.9820W,379425.9820W
'CO52,"EVERGREEN, CO 80439","EVERGREEN, CO 80439",80439,80439,39-34-59.9570N,142499.9570N,105-18-11.9730W,379091.9730W
'CD38,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-12-58.9650N,141178.9650N,106-05-12.0680W,381912.0680W
'CO54,"COLORADO SPRINGS, CO 80906",,80906,#VALUE!,38-58-59.9740N,140339.9740N,104-38-01.9000W,376681.9000W
'CO57,"LONGMONT, CO 80504","LONGMONT, CO 80504",80504,80504,40-06-45.7800N,144405.7800N,104-57-06.7800W,377826.7800W
'CO58,"FREDERICK, CO 80530","LONGMONT, CO 80504",80530,80504,40-06-20.9420N,144380.9420N,104-57-16.9200W,377836.9200W
'CO00,"FLAGLER, CO 80815","FLAGLER, CO 80815",80815,80815,39-16-47.9670N,141407.9670N,103-03-59.7680W,371039.7680W
'FCS,"FT BELVOIR, VA 22060",,22060,#VALUE!,38-40-46.9600N,139246.9600N,104-45-39.4400W,377139.4400W
'57CO,"PHOENIX, AZ 85006","GREELEY, CO 80631",85006,80631,40-31-20.0000N,145880.0000N,105-00-30.0000W,378030.0000W
'0CO7,"FORT COLLINS, CO 80524","FORT COLLINS, CO 80524",80524,80524,40-35-07.9360N,146107.9360N,105-02-22.9170W,378142.9170W
'CO55,"FORT COLLINS, CO 80523","FORT COLLINS, CO 80523",80523,80523,40-35-49.9360N,146149.9360N,105-08-36.9310W,378516.9310W
'2CO0,"FORT COLLINS, CO 80524","FORT COLLINS, CO 80524",80524,80524,40-35-00.9060N,146100.9060N,106-59-07.1880W,385147.1880W
'CD46,"FORT COLLINS, CO 80522","FT. COLLINS, CO 80524",80522,80524,40-35-27.9100N,146127.9100N,105-02-51.9200W,378171.9200W
'CD07,"FORT COLLINS, CO 80524","FORT COLLINS, CO 80524",80524,80524,40-34-17.0100N,146057.0100N,105-03-15.6600W,378195.6600W
'65CO,"FORT COLLINS, CO 80528","FORT COLLINS, CO 80528",80528,80528,40-31-15.0000N,145875.0000N,104-58-00.4000W,377880.4000W
'CO53,"FT COLLINS, CO 80524-9334","FT COLLINS, CO 80524-9334",80524-9334,80524-9334,40-38-04.9360N,146284.9360N,104-59-27.9080W,377967.9080W
'FNL,"LOVELAND, CO 80538","LOVELAND, CO 80538",80538,80538,40-27-06.5780N,145626.5780N,105-00-40.8080W,378040.8080W
'CO92,"FORT GARLAND, CO 81133","FORT GARLAND, CO 81133",81133,81133,37-27-51.6257N,134871.6257N,105-24-23.4591W,379463.4591W
'0CD1,"FT. MORGAN, CO 80701","FT MORGAN, CO 80701",80701,80701,40-15-38.2200N,144938.2200N,103-47-43.9800W,373663.9800W
'FMM,"FORT MORGAN, CO 80701","FORT MORGAN, CO 80701",80701,80701,40-20-07.6000N,145207.6000N,103-48-15.0000W,373695.0000W
'CO80,"FOWLER, CO 81039","FOWLER, CO 81039",81039,81039,38-04-21.0220N,137061.0220N,104-02-44.8610W,374564.8610W
'7CO3,"FRANKTOWN, CO 80116","FRANKTOWN, CO 80116",80116,80116,39-18-56.0000N,141536.0000N,104-42-44.0000W,376964.0000W
'CD40,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-25-45.9580N,141945.9580N,104-39-31.8980W,376771.8980W
'CO96,"FRANKTOWN, CO 80116","FRANKTOWN, CO 80116",80116,80116,39-22-18.0000N,141738.0000N,104-44-35.0000W,377075.0000W
'CO68,"FREDERICK, CO 80516","AURORA, CO 80111",80516,80111,40-07-19.0000N,144439.0000N,104-58-51.0000W,377931.0000W
'91CO,"LAKEWOOD, CO 80228","LAKEWOOD, CO 80228",80228,80228,39-34-50.4000N,142490.4000N,106-05-33.0000W,381933.0000W
'CO59,"EATON, CO 80615","EATON, CO 80615",80615,80615,40-32-45.0000N,145965.0000N,104-33-52.0000W,376432.0000W
'CO61,"GARDNER, CO 81040","GARDNER, CO 81040",81040,81040,37-50-32.0180N,136232.0180N,105-12-49.9960W,378769.9960W
'7CO1,"GATEWAY, CO 81522","GATEWAY, CO 81522",81522,81522,38-40-35.0900N,139235.0900N,108-58-42.9600W,392322.9600W
'63CO,"GATEWAY, CO 81522","GATEWAY, CO 81522",81522,81522,38-42-19.9400N,139339.9400N,108-56-14.3800W,392174.3800W
'9CO3,"GRAND JUNCTION, CO 81506","GRAND JUNCTION, CO 81506",81506,81506,38-40-30.0000N,139230.0000N,108-59-18.0000W,392358.0000W
'CO43,"GLADE PARK, CO 81523","GLADE PARK, CO 81523",81523,81523,39-00-09.9370N,140409.9370N,108-42-37.3530W,391357.3530W
'CO62,"DENVER, CO 80222","DENVER, CO 80222",80222,80222,39-42-19.9540N,142939.9540N,104-56-21.9260W,377781.9260W
'GWS,"GLENWOOD SPRINGS, CO 81601","GLENWOOD SPRINGS, CO 81601",81601,81601,39-30-21.6000N,142221.6000N,107-18-32.7000W,386312.7000W
'CD42,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-31-59.9360N,142319.9360N,107-17-02.1920W,386222.1920W
'CD41,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-25-59.9340N,141959.9340N,107-23-02.1900W,386582.1900W
'60CO,"GLENWOOD SPRINGS, CO 81601","GLENWOOD SPRINGS, CO 81601",81601,81601,39-31-59.0300N,142319.0300N,107-19-20.8100W,386360.8100W
'20CO,"GOLDEN, CO 80401","BROOMFIELD, CO 80020",80401,80020,39-44-07.9540N,143047.9540N,105-12-23.9570W,378743.9570W
'GNB,"HOT SULPHUR SPRINGS, CO 80451","HOT SULPHUR SPRINGS, CO 80451",80451,80451,40-05-24.2000N,144324.2000N,105-54-59.9000W,381299.9000W
'51CO,"KREMMLING, CO 80459","KREMMLING, CO 80459",80459,80459,40-04-34.6000N,144274.6000N,105-55-32.8000W,381332.8000W
'28CO,"GRAND JUNCTION, CO 81506","GRAND JUNCTION, CO 81506",81506,81506,39-07-03.9310N,140823.9310N,108-32-20.3330W,390740.3330W
'GJT,"GRAND JUNCTION, CO 81506","GRAND JUNCTION, CO 81506",81506,81506,39-07-20.6850N,140840.6850N,108-31-36.2450W,390696.2450W
'2CO9,"GRAND JUNCTION, CO 81504","GRAND JUNCTION, CO 81504",81504,81504,39-04-19.8000N,140659.8000N,108-30-40.2000W,390640.2000W
'82CO,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-05-50.9320N,140750.9320N,108-35-02.3380W,390902.3380W
'29CO,"GRAND JUNCTION, CO 81501","GRAND JUNCTION, CO 81501",81501,81501,39-05-23.5200N,140723.5200N,108-33-46.0200W,390826.0200W
'CD43,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-05-09.9730N,140709.9730N,106-16-06.0810W,382566.0810W
'11V,"LA SALLE, CO 80645","LA SALLE, CO 80645",80645,80645,40-19-38.4850N,145178.4850N,104-36-33.8200W,376593.8200W
'GXY,"GREELEY, CO 80632","GREELEY, CO 80632",80632,80632,40-26-14.7000N,145574.7000N,104-37-59.6000W,376679.6000W
'98CO,"GREELEY, CO 80631","GREELEY, CO 80631",80631,80631,40-24-53.4500N,145493.4500N,104-42-39.0500W,376959.0500W
'CO44,"LITTLETON, CO 80122-2655","LITTLETON, CO 80122-2655",80122-2655,80122-2655,39-34-29.9580N,142469.9580N,104-52-31.9210W,377551.9210W
'30CO,"MONUMENT, CO 80132-8770","MONUMENT, CO 80132-8770",80132-8770,80132-8770,38-40-21.0600N,139221.0600N,105-20-09.9000W,379209.9000W
'CD71,"CANON CITY, CO 81212","CANON CITY, CO 81212",81212,81212,38-37-28.4400N,139048.4400N,105-30-57.6600W,379857.6600W
'CD12,"GUNNISON, CO 81230","GUNNISON, CO 81230",81230,81230,38-33-06.9100N,138786.9100N,106-55-27.9000W,384927.9000W
'GUC,"GUNNISON, CO 81230","GUNNISON, CO 81230",81230,81230,38-32-03.6000N,138723.6000N,106-55-54.3000W,384954.3000W
'CO47,"GYPSUM, CO 81637","GYPSUM, CO 81637",81637,81637,39-35-59.9440N,142559.9440N,106-58-27.1620W,385107.1620W
'CO73,"TWO BUTTES, CO 81084","TWO BUTTES, CO 81084",81084,81084,38-06-00.0360N,137160.0360N,102-13-01.6780W,367981.6780W
'25CD,"HARTSEL, CO 80449","HARTSEL, CO 80449",80449,80449,39-09-08.4000N,140948.4000N,105-43-12.6000W,380592.6000W
'17V,"HAXTUN, CO 80731","HAXTUN, CO 80731",80731,80731,40-37-28.0000N,146248.0000N,102-36-28.7000W,369388.7000W
'CD44,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,37-20-59.9910N,134459.9910N,108-09-02.2760W,389342.2760W
'CO13,"AURORA, CO 80045","AURORA, CO 80045",80045,80045,39-33-24.9800N,142404.9800N,105-00-33.5700W,378033.5700W
'92CO,"DENVER, CO 80212","DENVER, CO 80212",80212,80212,38-17-29.9940N,137849.9940N,105-36-40.0110W,380200.0110W
'K08,"HOLLY, CO 81047","HOLLY, CO 81047",81047,81047,38-02-06.4450N,136926.4450N,102-07-00.0150W,367620.0150W
'HEQ,"HOLYOKE, CO 80734","HOLYOKE, CO 80734",80734,80734,40-34-09.9000N,146049.9000N,102-16-21.7000W,368181.7000W
'26CO,"HOLYOKE, CO 80734","HOLYOKE, CO 80734",80734,80734,40-34-45.0000N,146085.0000N,102-17-21.0000W,368241.0000W
'3CO1,"HOTCHKISS, CO 81419","HOTCHKISS, CO 81419",81419,81419,38-50-53.9390N,139853.9390N,107-50-00.2220W,388200.2220W
'CO76,"HOTCHKISS, CO 81419","HOTCHKISS, CO 81419",81419,81419,38-50-10.9390N,139810.9390N,107-51-57.2270W,388317.2270W
'CD97,"HOTCHKISS, CO 81419","HOTCHKISS, CO 81419",81419,81419,38-48-20.0000N,139700.0000N,107-46-27.0000W,387987.0000W
'12CO,"HOTCHKISS, CO 81419","HOTCHKISS, CO 81419",81419,81419,38-50-07.7000N,139807.7000N,107-48-54.7000W,388134.7000W
'44CO,"HOTCHKISS, CO 81419","HOTCHKISS, CO 81419",81419,81419,38-50-11.9400N,139811.9400N,107-47-34.2170W,388054.2170W
'8CO5,"HOTCHKISS, CO 81419","HOTCHKISS, CO 81419",81419,81419,38-50-01.9390N,139801.9390N,107-53-32.2300W,388412.2300W
'18V,"FORT LUPTON, CO 80621","FORT LUPTON, CO 80621",80621,80621,40-06-09.8000N,144369.8000N,104-42-04.3000W,376924.3000W
'CO78,"HUGO, CO 80821","HUGO, CO 80821",80821,80821,39-08-19.7600N,140899.7600N,103-28-28.1300W,372508.1300W
'CD19,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-41-26.9570N,142886.9570N,105-30-16.9910W,379816.9910W
'CO08,"IDALIA, CO 80735","IDALIA, CO 80735",80735,80735,39-43-48.0000N,143028.0000N,102-10-18.0000W,367818.0000W
'9CO4,"INDIAN HILLS, CO 80454","INDIAN HILLS, CO 80454",80454,80454,39-38-11.9560N,142691.9560N,105-16-00.9670W,378960.9670W
'CD28,"BROOMFIELD, CO 80021","BROOMFIELD, CO 80021",80021,80021,39-38-37.9800N,142717.9800N,105-16-03.4800W,378963.4800W
'CO81,"JOHNSTOWN, CO 80534","JOHNSTOWN, CO 80534",80534,80534,40-20-28.0000N,145228.0000N,104-55-22.0000W,377722.0000W
'7CO7,"JOHNSTOWN, CO 80534","JOHNSTOWN, CO 80534",80534,80534,40-20-27.0000N,145227.0000N,104-49-21.0000W,377361.0000W
'7V8,"JULESBURG, CO 80737","JULESBURG, CO 80737",80737,80737,40-58-12.9300N,147492.9300N,102-18-54.9850W,368334.9850W
'CO60,"KEENSBURG, CO 80643",,80643,#VALUE!,40-06-29.9360N,144389.9360N,104-25-51.8420W,375951.8420W
'CO56,"KEENESBURG, CO 80643-9715","KEENESBURG, CO 80643-9715",80643-9715,80643-9715,39-57-50.9410N,143870.9410N,104-27-46.8470W,376066.8470W
'CO82,"KEENSBURG, CO 80643","KEENSBURG, CO 80643",80643,80643,40-05-44.9370N,144344.9370N,104-35-21.8620W,376521.8620W
'62CO,"KEENESBURG, CO 80643","KEENESBURG, CO 80643",80643,80643,40-05-53.9400N,144353.9400N,104-25-30.8400W,375930.8400W
'9CO7,"KERSEY, CO 80644","KERSEY, CO 80644",80644,80644,40-20-26.0000N,145226.0000N,104-34-24.0000W,376464.0000W
'83CO,"BROOMFIELD, CO 80021","BROOMFIELD, CO 80021",80021,80021,39-36-17.7800N,142577.7800N,105-57-08.5200W,381428.5200W
'9CO8,"CALHAN, CO 80808","CALHAN, CO 80808",80808,80808,39-16-45.4800N,141405.4800N,104-20-35.3400W,375635.3400W
'CO18,"BROOMFIELD, CO 80020","BROOMFIELD, CO 80020",80020,80020,39-27-50.3000N,142070.3000N,104-15-28.4000W,375328.4000W
'07CO,"KIOWA, CO 80117","KIOWA, CO 80117",80117,80117,39-15-49.0000N,141349.0000N,104-25-37.0000W,375937.0000W
'CO36,"KIOWA, CO 80117","KIOWA, CO 80117",80117,80117,39-20-37.9540N,141637.9540N,104-27-54.8790W,376074.8790W
'0CO5,"KIOWA, CO 80117","KIOWA, CO 80117",80117,80117,39-18-11.5800N,141491.5800N,104-24-50.5200W,375890.5200W
'CO84,"STRATTON, CO 80836","STRATTON, CO 80836",80836,80836,39-36-29.9670N,142589.9670N,102-32-26.7260W,369146.7260W
'CO74,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,40-00-10.0000N,144010.0000N,106-27-08.0000W,383228.0000W
'20V,"HOT SULPHUR SPRINGS, CO 80451","HOT SULPHUR SPRINGS, CO 80451",80451,80451,40-03-12.4000N,144192.4000N,106-22-08.3000W,382928.3000W
'5CO6,"DEL NORTE, CO 81132","DEL NORTE, CO 81132",81132,81132,37-48-41.5900N,136121.5900N,106-18-54.9800W,382734.9800W
'8CO6,"LA JUNTA, CO 81050","LA JUNTA, CO 81050",81050,81050,37-58-36.4800N,136716.4800N,103-32-59.8200W,372779.8200W
'LHX,"LA JUNTA, CO 81050","LA JUNTA, CO 81050",81050,81050,38-03-00.0000N,136980.0000N,103-30-35.1000W,372635.1000W
'07V,"LA VETA, CO 81055","LA VETA, CO 81055",81055,81055,37-31-25.7680N,135085.7680N,105-00-33.3670W,378033.3670W
'0CD6,"LAFAYETTE, CO 80026","LAFAYETTE, CO 80026",80026,80026,39-58-15.0400N,143895.0400N,105-05-14.6500W,378314.6500W
'0CD7,"LAFAYETTE, CO 80026","LAFAYETTE, CO 80026",80026,80026,40-00-17.0000N,144017.0000N,105-04-19.0000W,378259.0000W
'CD32,"LAKE CITY, CO 81234","LAKE CITY, CO 81235",81234,81235,37-54-33.0000N,136473.0000N,107-21-01.0000W,386461.0000W
'93CO,"FAIRPLAY, CO 80440","FAIRPLAY, CO 80440",80440,80440,39-01-29.0899N,140489.0899N,105-36-51.7666W,380211.7666W
'42CO,"DENVER, CO 80204","DENVER, CO 80204",80204,80204,39-42-57.2300N,142977.2300N,105-07-40.5500W,378460.5500W
'LAA,"LAMAR, CO 81052","LAMAR, CO 81052",81052,81052,38-04-10.9000N,137050.9000N,102-41-18.6000W,369678.6000W
'0CD8,"LAMAR, CO 81052","LAMAR, CO 81052",81052,81052,38-04-16.5900N,137056.5900N,102-36-34.6700W,369394.6700W
'CD03,"LAMAR, CO 81051","LAMAR, CO 81052",81051,81052,38-11-56.5200N,137516.5200N,102-34-22.2000W,369262.2000W
'2CD9,"FORT COLLINS, CO 80524","FORT COLLINS, CO 80524",80524,80524,40-40-53.0400N,146453.0400N,105-08-18.7800W,378498.7800W
'CO93,"LARKSPUR, CO 80118-0098","LARKSPUR, CO 80118",80118-0098,80118,39-14-59.9600N,141299.9600N,104-53-26.9300W,377606.9300W
'7V9,"LAS ANIMAS, CO 81054","LAS ANIMAS, CO 81054",81054,81054,38-03-14.5000N,136994.5000N,103-14-18.5000W,371658.5000W
'LXV,"LEADVILLE, CO 80461","LEADVILLE, CO 80461",80461,80461,39-13-10.1000N,141190.1000N,106-18-59.1000W,382739.1000W
'01CO,"LEADVILLE, CO 80461","LEADVILLE, CO 80461",80461,80461,39-14-41.8600N,141281.8600N,106-18-09.9300W,382689.9300W
'LIC,"LIMON, CO 80828","LIMON, CO 80828",80828,80828,39-16-29.2000N,141389.2000N,103-39-57.1000W,373197.1000W
'CO16,"LITTLETON, CO 80122","LITTLETON, CO 80122",80122,80122,39-34-32.5500N,142472.5500N,104-59-12.8100W,377952.8100W
'9CO1,"LITTLETON, CO 80127","DENVER, CO 80201",80127,80201,39-33-21.9570N,142401.9570N,105-09-43.9580W,378583.9580W
'2CO6,"LITTLETON, CO 80127","LITTLETON, CO 80127",80127,80127,39-35-12.9600N,142512.9600N,105-10-09.9600W,378609.9600W
'0CD9,"ENGLEWOOD, CO 80113","ENGLEWOOD, CO 80113",80113,80113,39-36-10.6100N,142570.6100N,105-05-26.8100W,378326.8100W
'CD53,"LONR TREE, CO 80124","AURORA, CO 80011",80124,80011,39-31-41.8500N,142301.8500N,104-52-12.8300W,377532.8300W
'CO23,"LONGMONT, CO 80503","LONGMONT, CO 80503",80503,80503,40-06-35.6100N,144395.6100N,105-14-13.9400W,378853.9400W
'0CO0,"LONGMONT, CO 80501","LONGMONT, CO 80501",80501,80501,40-10-53.8200N,144653.8200N,105-07-29.0800W,378449.0800W
'1CD0,"LONGMONT, CO 80504","LONGMONT, CO 80504",80504,80504,40-08-34.0000N,144514.0000N,105-00-10.0000W,378010.0000W
'LMO,"LONGMONT, CO 80501","LONGMONT, CO 80503",80501,80503,40-09-51.8000N,144591.8000N,105-09-49.1000W,378589.1000W
'CO45,"LOUISVILLE, CO 80027","LOUISVILLE, CO 80027",80027,80027,39-57-08.8000N,143828.8000N,105-09-04.5800W,378544.5800W
'0CO1,"LAFAYETTE, CO 80026",,80026,#VALUE!,40-01-59.9450N,144119.9450N,105-07-25.9430W,378445.9430W
'5CO2,"LOVELAND, CO 80537","LOVELAND, CO 80537",80537,80537,40-24-44.1700N,145484.1700N,105-03-04.2200W,378184.2200W
'2CD2,"LOVELAND, CO 80538","LOVELAND, CO 80538",80538,80538,40-25-00.1000N,145500.1000N,104-59-45.8800W,377985.8800W
'CD20,"LOVELAND, CO 80538","LOVELAND, CO 80538",80538,80538,40-28-29.9000N,145709.9000N,105-13-12.9000W,378792.9000W
'10CO,"MACK, CO 81525","MACK, CO 81525",81525,81525,39-16-05.2000N,141365.2000N,108-51-50.5000W,391910.5000W
'CD49,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,39-10-36.9560N,141036.9560N,103-52-47.8360W,373967.8360W
'45CO,"LONGMONT, CO 80504","LONGMONT, CO 80504",80504,80504,40-12-19.9420N,144739.9420N,104-58-31.9200W,377911.9200W
'05CO,"MEAD, CO 80542","MEAD, CO 80542",80542,80542,40-12-53.9420N,144773.9420N,104-59-03.9220W,377943.9220W
'41CO,"MEEKER, CO 81641","MEEKER, CO 81641",81641,81641,39-58-16.0000N,143896.0000N,107-36-40.0000W,387400.0000W
'EEO,"MEEKER, CO 81641","MEEKER, CO 81641",81641,81641,40-02-55.7000N,144175.7000N,107-53-09.3000W,388389.3000W
'4CO5,"MEEKER, CO 81641","MEEKER, CO 81641",81641,81641,40-02-28.9030N,144148.9030N,107-52-40.2690W,388360.2690W
'CD50,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,40-08-59.9030N,144539.9030N,107-52-02.2640W,388322.2640W
'9CO9,"LAS VEGAS, NV 89118","LAS VEGAS, NV 89118",89118,89118,39-07-44.9200N,140864.9200N,108-08-32.2700W,389312.2700W
'2CO3,"MILLIKEN, CO 80543","MILLIKEN, CO 80543",80543,80543,40-22-29.9360N,145349.9360N,104-52-21.9010W,377541.9010W
'02CO,"MONTE VISTA, CO 81144","MONTE VISTA, CO 81144",81144,81144,37-38-36.0050N,135516.0050N,106-02-49.0920W,381769.0920W
'MVI,"MONTE VISTA, CO 81144","MONTE VISTA, CO 81144",81144,81144,37-31-43.4000N,135103.4000N,106-02-45.2000W,381765.2000W
'0CO9,"MONTE VISTA, CO 81144","MONTE VISTA, CO 81144",81144,81144,37-39-30.0040N,135570.0040N,106-02-02.0880W,381722.0880W
'2CD5,"MONTROSE, CO 81401","MONTROSE, CO 81401",81401,81401,38-15-12.0000N,137712.0000N,107-58-20.0000W,388700.0000W
'39CO,"MONTROSE, CO 81401","MONTROSE, CO 81401",81401,81401,38-29-16.9500N,138556.9500N,107-40-27.2000W,387627.2000W
'CD47,"MONTROSE, CO 81401","MONTROSE, CO 81401",81401,81401,38-28-49.0400N,138529.0400N,107-52-05.7300W,388325.7300W
'MTJ,"MONTROSE, CO 81401","MONTROSE, CO 81401",81401,81401,38-30-35.3000N,138635.3000N,107-53-39.3000W,388419.3000W
'7CO2,"ISSAQUAN, WA 98029","OURAY, CO 81427",98029,81427,38-24-58.0000N,138298.0000N,107-54-16.0000W,388456.0000W
'6CO8,"MONTROSE, CO 81401","MONTROSE, CO 81401",81401,81401,38-27-57.9510N,138477.9510N,107-52-24.2250W,388344.2250W
'61CO,"COLORADO SPRINGS, CO 80903","COLORADO SPRINGS, CO 80903",80903,80903,39-05-09.0000N,140709.0000N,104-54-10.0000W,377650.0000W
'52CO,"COLORADO SPRINGS, CO 80911","STERLING, CO 80751",80911,80751,39-06-34.9600N,140794.9600N,104-39-13.9000W,376753.9000W
'1CO1,"DENVER, CO 80204","DENVER, CO 80220",80204,80220,39-40-08.9550N,142808.9550N,105-13-10.9620W,378790.9620W
'CD52,"ENGLEWOOD, CO 80112","ENGLEWOOD, CO 80112",80112,80112,38-44-42.9870N,139482.9870N,106-11-59.0710W,382319.0710W
'38CO,"NATURITA, CO 81422","NATURITA, CO 81320",81422,81320,38-13-07.2400N,137587.2400N,108-34-31.3700W,390871.3700W
'47CO,"NEW RAYMER, CO 80742-9108","NEW RAYMER, CO 80742-9108",80742-9108,80742-9108,40-53-59.9360N,147239.9360N,104-50-01.8880W,377401.8880W
'CO06,"NEW RAYMER, CO 80742","NEW RAYMER, CO 80742",80742,80742,40-30-49.0000N,145849.0000N,103-54-43.0000W,374083.0000W
'85CO,"NIWOT, CO 80544",,80544,#VALUE!,40-06-44.9460N,144404.9460N,105-09-41.9470W,378581.9470W
'8CO7,"LONGMONT, CO 80503","LONGMONT, CO 80503",80503,80503,40-07-20.9460N,144440.9460N,105-10-20.9470W,378620.9470W
